 2016-03-02 17:37:32,647 [P25084/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.1 application starting on TOMAS-PC
 2016-03-02 17:37:32,710 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-03-02 17:37:32,718 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 8ms)
 2016-03-02 17:37:32,786 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-03-02 17:37:32,873 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 87ms)
 2016-03-02 17:37:32,925 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-03-02 17:37:32,926 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2016-03-02 17:37:32,927 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-03-02 17:37:32,928 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2016-03-02 17:37:32,940 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-03-02 17:37:32,941 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 0ms)
 2016-03-02 17:37:32,941 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-03-02 17:37:32,956 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 15ms)
 2016-03-02 17:37:33,004 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-03-02 17:37:33,004 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-03-02 17:37:33,005 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-03-02 17:37:33,005 [P25084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-03-02 17:37:33,948 [P25084/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-03-02 17:37:34,211 [P25084/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-03-02 17:37:34,260 [P25084/D2/T1] INFO  Umbraco.Core.Persistence.Database - New table 'CharacterLocationEntry' was created
 2016-03-02 17:37:34,299 [P25084/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-03-02 17:37:34,366 [P25084/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-03-02 17:37:34,413 [P25084/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-03-02 17:37:34,504 [P25084/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-03-02 17:37:34,518 [P25084/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1936ms)
 2016-03-02 17:37:36,127 [P25084/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:60127/umbraco (UmbracoModule request)
 2016-03-02 17:37:36,227 [P25084/D2/T11] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:60127/umbraco (UmbracoModule request)
 2016-03-02 17:37:36,369 [P25084/D2/T11] INFO  umbraco.content - Load Xml from file...
 2016-03-02 17:37:36,371 [P25084/D2/T11] INFO  umbraco.content - Loaded Xml from file.
 2016-03-02 17:37:37,352 [P25084/D2/T11] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-03-02 17:37:37,353 [P25084/D2/T11] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 1ms)
 2016-03-02 17:38:37,914 [P25084/D2/T16] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-03-01 17:38:37
 2016-03-02 17:38:37,949 [P25084/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-03-02 17:38:37,949 [P25084/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 0ms)
